"博主ID","好友ID"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=430956"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=531950"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2372421"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1094241"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=50505"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=513418"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=485569"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=278290"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=53483"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=676528"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=99934"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=990233"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=260340"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=5190"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=661811"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=309667"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=595119"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1239145"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=61772"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=4699"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=847277"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=581278"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=176"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1395175"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=862928"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=6011"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2211"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1246608"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=1319915"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=602248"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=4453"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=315"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=286952"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=542"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=3207"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=3503"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2024"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=4185"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=283307"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2376"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2179"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=630142"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=755833"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=117889"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=2438823"
"http://blog.sciencenet.cn/home.php?mod=space&uid=718137","http://blog.sciencenet.cn/home.php?mod=space&uid=39419"
